time,seconds_elapsed,z,y,x,,,z,y,x,,,t,z,y,x
1.683E+18,0.038322021,0.336099982,-0.0341,-0.070999995,,,9.784199715,0.573499978,-0.331,,,1,10.1202997,0.539399978,-0.401999995
1.683E+18,0.058328369,0.336099982,-0.0341,-0.070999995,,,9.784199715,0.573499978,-0.331,,,2,10.1202997,0.539399978,-0.401999995
1.683E+18,0.078322021,0.0004,-0.033500001,0.001,,,-0.137699991,9.800899506,-0.305000007,,,3,-0.137299991,9.767399505,-0.304000007
1.683E+18,0.098323486,-0.0069,-0.0047,0.066799998,,,-0.140100002,9.801499367,-0.282499999,,,4,-0.147000002,9.796799367,-0.215700001
1.683E+18,0.118322021,-0.019299999,0.0149,-0.0014,,,-0.14729999,9.801400185,-0.282900006,,,5,-0.166599989,9.816300184,-0.284300006
1.683E+18,0.138322021,0.0218,-0.0242,-0.007999999,,,-0.139499992,9.801400185,-0.2861,,,6,-0.117699992,9.777200185,-0.2941
1.683E+18,0.158323486,0.106799997,-0.035099998,0.076499999,,,-0.106799997,9.802499771,-0.262899995,,,7,0,9.767399773,-0.186399996
1.683E+18,0.178322021,0.15169999,-0.0361,0.071400002,,,-0.053599998,9.803599358,-0.238099992,,,8,0.098099992,9.767499357,-0.166699991
1.683E+18,0.198322021,0.085199997,-0.045899998,-0.012399999,,,-0.0264,9.803599358,-0.242499992,,,9,0.058799997,9.757699359,-0.254899992
1.683E+18,0.218322021,0.049199998,-0.0462,0.0277,,,-0.01,9.803799629,-0.233599991,,,10,0.039199999,9.757599629,-0.205899991
1.683E+18,0.238322021,-0.128199995,-0.034899998,0.097799994,,,0.059499998,9.8022995,-0.284199983,,,11,-0.068699997,9.767399501,-0.186399989
1.683E+18,0.258322021,-0.104199998,-0.0255,0.0208,,,-0.0036,9.802700043,-0.27579999,,,12,-0.107799998,9.777200043,-0.25499999
1.683E+18,0.278322021,-0.0691,-0.016099999,0.070699997,,,-0.048499998,9.803099632,-0.256999999,,,13,-0.117599998,9.786999634,-0.186300002
1.683E+18,0.298322021,0.020299999,-0.0066,0.062699996,,,-0.069299996,9.80340004,-0.239299998,,,14,-0.048999997,9.79680004,-0.176600002
1.683E+18,0.318322021,0.054899998,-0.0263,0.0073,,,-0.074599996,9.803500175,-0.232899994,,,15,-0.019699998,9.777200175,-0.225599994
1.683E+18,0.338322021,0.0469,-0.0262,-0.066500001,,,-0.076399997,9.80340004,-0.237399995,,,16,-0.029499996,9.777200039,-0.303899996
1.683E+18,0.358322021,0.0933,0.0131,-0.049199998,,,-0.073699996,9.803299904,-0.244899988,,,17,0.019600004,9.816399904,-0.294099987
1.683E+18,0.378322021,0.081599995,-0.0162,0.012999999,,,-0.071800001,9.803199768,-0.248300001,,,18,0.009799995,9.786999768,-0.235300002
1.683E+18,0.398322021,0.0735,-0.035799999,0.061699998,,,-0.0735,9.803199768,-0.247999996,,,19,0,9.767399769,-0.186299998
1.683E+18,0.418322021,0.0788,-0.035700001,0.052299999,,,-0.0788,9.803099632,-0.248399988,,,20,0,9.767399631,-0.196099989
1.683E+18,0.438322021,0.181199998,0.013499999,-0.096699998,,,-0.0832,9.802899361,-0.256199986,,,21,0.097999997,9.81639936,-0.352899984
1.683E+18,0.458322021,0.262800008,0.023799999,-0.284199983,,,-0.086300001,9.802399635,-0.274699986,,,22,0.176500008,9.826199634,-0.558899969
1.683E+18,0.478322021,0.243000001,0.043899998,-0.18159999,,,-0.095899999,9.80189991,-0.289099991,,,23,0.147100002,9.845799908,-0.470699981
1.683E+18,0.498322021,0.053299997,0.0539,0.0792,,,-0.121999994,9.801699638,-0.285099983,,,24,-0.068699997,9.855599638,-0.205899984
1.683E+18,0.518322021,0.2289,-0.122199997,-0.065200001,,,-0.160300002,9.801300049,-0.277899981,,,25,0.068599999,9.679100052,-0.343099982
1.683E+18,0.538322021,0.215199992,-0.052899998,-0.043299999,,,-0.20539999,9.800700188,-0.270399988,,,26,0.009800002,9.74780019,-0.313699987
1.683E+18,0.558322021,0.118699998,-0.071400002,0.099399999,,,-0.265799999,9.799599648,-0.256300002,,,27,-0.147100002,9.728199646,-0.156900004
1.683E+18,0.578322021,-0.0099,-0.1479,0.162499994,,,-0.342999995,9.797599792,-0.240999997,,,28,-0.352899995,9.649699792,-0.078500003
1.683E+18,0.598322021,-0.34009999,-0.213199988,0.227499992,,,-0.434499979,9.794300079,-0.227499992,,,29,-0.774599969,9.581100091,0
1.683E+18,0.618322021,-0.516200006,-0.100699998,0.344099998,,,-0.532999992,9.789699554,-0.216600001,,,30,-1.049199998,9.688999556,0.127499998
1.683E+18,0.638322021,-0.491299987,0.081199996,0.088199995,,,-0.626599967,9.784199715,-0.215700001,,,31,-1.117899954,9.865399711,-0.127500005
1.683E+18,0.658322021,-0.459999979,-0.158099994,-0.193599999,,,-0.706900001,9.778399467,-0.228,,,32,-1.166899979,9.620299473,-0.421599999
1.683E+18,0.678322021,-0.383599997,-0.064499997,-0.239899993,,,-0.773499966,9.773099899,-0.240499988,,,33,-1.157099962,9.708599903,-0.480399981
1.683E+18,0.698322021,-0.365799993,0.175599992,-0.175499991,,,-0.830500007,9.768300056,-0.246099994,,,34,-1.1963,9.943900049,-0.421599984
1.683E+18,0.718322021,-0.487399995,-0.046,-0.196899995,,,-0.875699997,9.764399529,-0.244299993,,,35,-1.363099992,9.718399528,-0.441199988
1.683E+18,0.738322021,-0.514499962,-0.033500001,0.017999999,,,-0.907399952,9.761699677,-0.233699992,,,36,-1.421899915,9.728199676,-0.215699993
1.683E+18,0.758322021,-0.247299999,0.202500001,0.061899997,,,-0.91959995,9.760899544,-0.218799993,,,37,-1.166899949,9.963399544,-0.156899996
1.683E+18,0.778322021,-0.091299996,-0.15169999,0,,,-0.908899963,9.762199402,-0.205899999,,,38,-1.000199959,9.610499412,-0.205899999
1.683E+18,0.798322021,-0.198399991,-0.1734,0.063199997,,,-0.890100002,9.764299393,-0.190699995,,,39,-1.088499993,9.590899393,-0.127499998
1.683E+18,0.818322021,-0.241799995,0.049699999,0.017199999,,,-0.866299987,9.766699791,-0.174099997,,,40,-1.108099982,9.81639979,-0.156899998
1.683E+18,0.838322021,-0.255499989,-0.090799995,0.242299989,,,-0.832899988,9.769899368,-0.153999999,,,41,-1.088399976,9.679099374,0.08829999
1.683E+18,0.858322021,-0.154399991,0.022699999,0.282499999,,,-0.787,9.774000168,-0.135399997,,,42,-0.941399992,9.796700167,0.147100002
1.683E+18,0.878322021,-0.086199999,-0.070099995,0.041299999,,,-0.727699995,9.778699875,-0.129500002,,,43,-0.813899994,9.70859988,-0.088200003
1.683E+18,0.898322021,-0.074999996,-0.084699996,-0.0942,,,-0.660399973,9.783499718,-0.131300002,,,44,-0.735399969,9.698799722,-0.225500003
1.683E+18,0.918322021,0.0056,-0.197399989,0.199199989,,,-0.584199965,9.788299561,-0.13059999,,,45,-0.578599965,9.590899572,0.068599999
1.683E+18,0.938322021,0.290099978,-0.084600002,0.326599985,,,-0.495999992,9.793199539,-0.130500004,,,46,-0.205900013,9.708599538,0.196099982
1.683E+18,0.958322021,0.414599985,0.028899999,0.141000003,,,-0.404799998,9.797200203,-0.141000003,,,47,0.009799987,9.826100202,0
1.683E+18,0.978322021,0.448499978,0.0065,0.0148,,,-0.32099998,9.800000191,-0.161899999,,,48,0.127499998,9.80650019,-0.147099999
1.683E+18,0.998322021,0.46449998,-0.142099991,-0.243900001,,,-0.248799995,9.801699638,-0.187399998,,,49,0.215699986,9.659599647,-0.431299999
1.683E+18,1.018322021,0.5801,-0.064499997,-0.357600003,,,-0.18779999,9.802499771,-0.211099997,,,50,0.39230001,9.737999775,-0.568700001
1.683E+18,1.038322021,-0.273499995,0.258599997,-0.265100002,,,-0.148100004,9.802899361,-0.225199997,,,51,-0.421599999,10.06149936,-0.4903
1.683E+18,1.058322021,-0.160300002,-0.074999996,-0.086999997,,,-0.123899996,9.803199768,-0.226699993,,,52,-0.284199998,9.728199773,-0.313699991
1.683E+18,1.078322021,0.07,-0.0166,-0.041699998,,,-0.089599997,9.803699493,-0.22299999,,,53,-0.019599997,9.787099494,-0.264699988
1.683E+18,1.098322021,0.433200002,-0.036699999,0.088399999,,,-0.050699998,9.804100037,-0.215899989,,,54,0.382500004,9.767400037,-0.12749999
1.683E+18,1.118322021,0.577199996,-0.154599994,0.170499995,,,-0.018199999,9.804299355,-0.20979999,,,55,0.558999997,9.64969936,-0.039299995
1.683E+18,1.138322021,0.175099999,-0.193899989,0.148000002,,,-0.0083,9.80439949,-0.206900001,,,56,0.166799999,9.610499501,-0.058899999
1.683E+18,1.158322021,-0.029899999,0.237499997,0.041299999,,,-0.0092,9.80439949,-0.207999989,,,57,-0.0391,10.04189949,-0.166699991
1.683E+18,1.178322021,-0.110399999,0.090499997,-0.160099998,,,-0.0072,9.804299355,-0.212499991,,,58,-0.117599999,9.894799352,-0.372599989
1.683E+18,1.198322021,0.018199999,-0.134900004,-0.158600003,,,0.0013,9.804299355,-0.2139,,,59,0.019499999,9.669399351,-0.372500002
1.683E+18,1.218322021,0.0275,-0.036899999,-0.094499998,,,0.0116,9.80439949,-0.209399998,,,60,0.0391,9.767499492,-0.303899996
1.683E+18,1.238322021,-0.020399999,-0.0175,0.034299999,,,0.020399999,9.804499626,-0.20099999,,,61,0,9.786999626,-0.166699991
1.683E+18,1.258322021,-0.087699994,0.0117,0.1708,,,0.028899999,9.804699898,-0.190499991,,,62,-0.058799995,9.816399897,-0.019699991
1.683E+18,1.278322021,-0.186700001,-0.047199998,0.104800001,,,0.0396,9.804800034,-0.183200002,,,63,-0.147100002,9.757600036,-0.078400001
1.683E+18,1.298322021,-0.124699995,-0.0275,-0.015099999,,,0.0561,9.804800034,-0.180999994,,,64,-0.068599995,9.777300034,-0.196099994
1.683E+18,1.318322021,-0.138099998,-0.0176,0.090499997,,,0.079300001,9.804599762,-0.178800002,,,65,-0.058799997,9.786999762,-0.088300005
1.683E+18,1.338322021,0.165999994,0.0021,0.078899994,,,0.108499996,9.80439949,-0.177000001,,,66,0.27449999,9.80649949,-0.098100007
1.683E+18,1.358322021,0.304899991,-0.0955,0.0009,,,0.136299998,9.803999901,-0.177399993,,,67,0.441199988,9.708499901,-0.176499993
1.683E+18,1.378322021,0.215999991,-0.095100001,-0.095699996,,,0.156499997,9.803699493,-0.178800002,,,68,0.372499987,9.708599493,-0.274499997
1.683E+18,1.398322021,0.331900001,-0.0361,-0.125,,,0.168099999,9.803500175,-0.178899989,,,69,0.5,9.767400175,-0.303899989
1.683E+18,1.418322021,0.1919,0.003,-0.1074,,,0.1708,9.803500175,-0.176899999,,,70,0.3627,9.806500176,-0.284299999
1.683E+18,1.438322021,0.070900001,0.0028,-0.035,,,0.164399996,9.803699493,-0.170900002,,,71,0.235299997,9.806499493,-0.205900002
1.683E+18,1.458322021,0.178399995,0.071199998,0.161699995,,,0.154899999,9.803999901,-0.161699995,,,72,0.333299994,9.875199899,0
1.683E+18,1.478322021,0.046399999,-0.037,0.193299994,,,0.139799997,9.80439949,-0.153999999,,,73,0.186199997,9.76739949,0.039299995
1.683E+18,1.498322021,-0.1197,-0.135299996,-0.452399999,,,0.1197,9.804599762,-0.155499995,,,74,0,9.669299766,-0.607899994
1.683E+18,1.518322021,-0.237999991,0.227200001,-0.561999977,,,0.1008,9.804900169,-0.153699994,,,75,-0.13719999,10.03210017,-0.715699971
1.683E+18,1.538322021,-0.091899998,-0.233999997,0.453599989,,,0.091899998,9.805299759,-0.129999995,,,76,0,9.571299762,0.323599994
1.683E+18,1.558322021,0.026899999,-0.0186,0.440999985,,,0.090700001,9.805600166,-0.107499994,,,77,0.1176,9.787000166,0.33349999
1.683E+18,1.578322021,-0.037900001,-0.106899999,0.121999994,,,0.086999997,9.805699348,-0.102399997,,,78,0.049099997,9.698799349,0.019599997
1.683E+18,1.598322021,0.0038,0.020499999,-0.098399997,,,0.084299996,9.805600166,-0.107499994,,,79,0.088099996,9.826100165,-0.205899991
1.683E+18,1.618322021,0.0056,0.0107,-0.0359,,,0.082599998,9.805600166,-0.111099996,,,80,0.088199997,9.816300166,-0.146999996
1.683E+18,1.638322021,0.17369999,0.0009,0.0337,,,0.081199996,9.805600166,-0.112199999,,,81,0.254899986,9.806500166,-0.078499999
1.683E+18,1.658322021,0.139899999,-0.038199998,-0.004,,,0.075800002,9.805600166,-0.113499999,,,82,0.215700001,9.767400168,-0.117499999
1.683E+18,1.678322021,0.0127,0.167499989,0.111299999,,,0.065700002,9.805699348,-0.111299999,,,83,0.078400002,9.973199338,0
1.683E+18,1.698322021,0.101199999,0.0008,-0.208700001,,,0.055599999,9.805799484,-0.1149,,,84,0.156799998,9.806599484,-0.323600002
1.683E+18,1.718322021,0.134199992,-0.116799995,-0.205299988,,,0.042199999,9.805799484,-0.118199997,,,85,0.176399991,9.688999489,-0.323499985
1.683E+18,1.738322021,-0.0232,-0.205200002,-0.022299999,,,0.0232,9.80589962,-0.1149,,,86,0,9.600699618,-0.1372
1.683E+18,1.758322021,-0.178499997,0.029999999,-0.057099998,,,0.002,9.805999756,-0.1096,,,87,-0.176499997,9.835999755,-0.166699998
1.683E+18,1.778322021,-0.052199997,0.078899994,0.090999998,,,-0.0164,9.806099892,-0.1008,,,88,-0.068599997,9.884999886,-0.009800002
1.683E+18,1.798322021,-0.166999996,-0.136699989,-0.091600001,,,-0.028999999,9.806099892,-0.094599999,,,89,-0.195999995,9.669399902,-0.1862
1.683E+18,1.818322021,-0.363499999,-0.019099999,-0.0007,,,-0.0385,9.806099892,-0.087499999,,,90,-0.401999999,9.786999892,-0.088199998
1.683E+18,1.838322021,-0.177299991,0.049399998,0.125399992,,,-0.038399998,9.806200027,-0.076399997,,,91,-0.215699989,9.855600026,0.048999995
1.683E+18,1.858322021,-0.178299993,-0.058499999,0.127499998,,,-0.0276,9.806300163,-0.068700001,,,92,-0.205899993,9.747800164,0.058799997
1.683E+18,1.878322021,-0.107999995,0.01,0.173099995,,,-0.0096,9.806399345,-0.065200001,,,93,-0.117599995,9.816399345,0.107899994
1.683E+18,1.898322021,-0.112599999,-0.038899999,0.067699999,,,0.014599999,9.806399345,-0.067699999,,,94,-0.097999999,9.767499346,0
1.683E+18,1.918322021,-0.063999996,-0.048599999,-0.200399995,,,0.044399999,9.806200027,-0.074099995,,,95,-0.019599997,9.757600028,-0.27449999
1.683E+18,1.938322021,0.136500001,-0.126800001,-0.254399985,,,0.079099998,9.805999756,-0.078899994,,,96,0.215599999,9.679199755,-0.33329998
1.683E+18,1.958322021,0.258300006,-0.106899999,-0.062399998,,,0.114299998,9.805600166,-0.0748,,,97,0.372600004,9.698700167,-0.137199998
1.683E+18,1.978322021,0.386099994,0.0012,0.075899996,,,0.143299997,9.805299759,-0.066100001,,,98,0.529399991,9.806499759,0.009799995
1.683E+18,1.998322021,0.395500004,0.011299999,0.19569999,,,0.163399994,9.805099487,-0.058399998,,,99,0.558899999,9.816399487,0.137299992
1.683E+18,2.018322021,0.270599991,0.030999999,0.144599989,,,0.170599997,9.804999352,-0.056299999,,,100,0.441199988,9.835999351,0.08829999
1.683E+18,2.038322021,0.186799988,-0.067000002,-0.105399996,,,0.166199997,9.804999352,-0.061299998,,,101,0.352999985,9.73799935,-0.166699994
1.683E+18,2.058322021,0.042099997,-0.086799994,-0.099399999,,,0.153999999,9.805199623,-0.067199998,,,102,0.196099997,9.718399629,-0.166599996
1.683E+18,2.078322021,-0.099199995,-0.028199999,0.088299997,,,0.138400003,9.805399895,-0.068700001,,,103,0.039200008,9.777199896,0.019599997
1.683E+18,2.098322021,-0.094799995,-0.0087,0.070999995,,,0.124199994,9.805600166,-0.070999995,,,104,0.029399998,9.796900166,0
1.683E+18,2.118322021,-0.073699996,-0.116699994,0.126299992,,,0.112899996,9.805600166,-0.077199996,,,105,0.0392,9.688900173,0.049099997
1.683E+18,2.138322021,-0.238799989,0.206799999,-0.1162,,,0.101499997,9.805699348,-0.089699998,,,106,-0.137299992,10.01249935,-0.205899999
1.683E+18,2.158322021,-0.183799997,-0.096999995,-0.1426,,,0.0955,9.805600166,-0.102499999,,,107,-0.088299997,9.708600171,-0.245099999
1.683E+18,2.178322021,-0.0757,-0.165600002,0.029099999,,,0.095299996,9.805500031,-0.107499994,,,108,0.019599997,9.639900029,-0.078399995
1.683E+18,2.198322021,-0.0012,-0.008599999,0.208299994,,,0.099299997,9.805500031,-0.110199995,,,109,0.098099997,9.796900031,0.098099999
1.683E+18,2.218322021,0.0232,0.0208,0.1074,,,0.104199998,9.805299759,-0.117199995,,,110,0.127399998,9.826099759,-0.009799995
1.683E+18,2.238322021,-0.07,-0.057299998,-0.066100001,,,0.109299995,9.805099487,-0.129999995,,,111,0.039299995,9.74779949,-0.196099997
1.683E+18,2.258322021,-0.115199998,0.031099999,-0.336099982,,,0.115199998,9.804900169,-0.144299999,,,112,0,9.836000169,-0.480399981
1.683E+18,2.278322021,-0.025599999,-0.0274,-0.162299991,,,0.1237,9.804599762,-0.1514,,,113,0.098100001,9.777199762,-0.313699991
1.683E+18,2.298322021,0.176599994,-0.066500001,0.2465,,,0.137099996,9.804499626,-0.148399994,,,114,0.313699991,9.737999626,0.098100007
1.683E+18,2.318322021,-0.018299999,0.070799999,-0.016099999,,,0.145799994,9.80439949,-0.1505,,,115,0.127499996,9.875199489,-0.166599998
1.683E+18,2.338322021,0.0131,-0.046499997,-0.243599996,,,0.153499991,9.804100037,-0.158399999,,,116,0.166599991,9.757600039,-0.401999995
1.683E+18,2.358322021,0.275399983,-0.046299998,0.071899995,,,0.16579999,9.803899765,-0.1602,,,117,0.441199973,9.757599767,-0.088300005
1.683E+18,2.378322021,0.240099996,-0.036399998,0.0524,,,0.171700001,9.803799629,-0.160300002,,,118,0.411799997,9.767399631,-0.107900001
1.683E+18,2.398322021,0.233699992,-0.0266,-0.063099995,,,0.168300003,9.803799629,-0.162299991,,,119,0.401999995,9.77719963,-0.225399986
1.683E+18,2.418322021,0.198299989,0.0123,-0.1105,,,0.154699996,9.803999901,-0.16399999,,,120,0.352999985,9.8162999,-0.27449999
1.683E+18,2.438322021,-0.0139,-0.066399999,-0.307999998,,,0.131499991,9.80439949,-0.162699997,,,121,0.117599991,9.737999491,-0.470699996
1.683E+18,2.458322021,-0.0199,0.0116,-0.062399998,,,0.108199999,9.804800034,-0.153200001,,,122,0.088299999,9.816400033,-0.215599999
1.683E+18,2.478322021,0.069299996,-0.018199999,0.274399996,,,0.087499999,9.805299759,-0.137099996,,,123,0.156799994,9.78709976,0.1373
1.683E+18,2.498322021,0.033799998,-0.263699979,0.537499964,,,0.064199999,9.805600166,-0.125599995,,,124,0.097999997,9.541900188,0.411899969
