time,seconds_elapsed,z,y,x,,,z,y,x,,t,z,y,x
1.68302E+18,0.040730469,0.150899991,0.010799999,0.091199994,,,7.625699997,0.077399999,6.165400028,,1,7.776599988,0.088199998,6.256600022
1.68302E+18,0.060729004,0.150899991,0.010799999,0.091199994,,,7.625699997,0.077399999,6.165400028,,2,7.776599988,0.088199998,6.256600022
1.68302E+18,0.080729004,0.150899991,0.010799999,0.091199994,,,7.625699997,0.077399999,6.165400028,,3,7.776599988,0.088199998,6.256600022
1.68302E+18,0.100729004,0.089499995,-0.1567,0.163199991,,,-3.610099792,6.315299988,-6.576699734,,4,-3.520599797,6.158599988,-6.413499743
1.68302E+18,0.120727051,0.069299996,-0.211199999,-0.0284,,,-3.609499931,6.310899734,-6.581199646,,5,-3.540199935,6.099699736,-6.609599646
1.68302E+18,0.140727051,-0.172099993,-0.485699981,-0.0757,,,-3.622999907,6.291199684,-6.592700005,,6,-3.795099899,5.805499703,-6.668400005
1.68302E+18,0.160727051,-0.490099996,-0.755400002,-0.231199995,,,-3.707000017,6.188299656,-6.643199921,,7,-4.197100013,5.432899654,-6.874399915
1.68302E+18,0.180727051,-0.981099963,-1.129599929,-0.784799993,,,-3.75549984,6.121199608,-6.677999973,,8,-4.736599803,4.991599679,-7.462799966
1.68302E+18,0.200727051,-1.141799927,-1.355799913,-1.202799916,,,-3.790799856,6.062900066,-6.711099625,,9,-4.932599783,4.707100153,-7.913899541
1.68302E+18,0.220727051,-0.884299994,-1.567499995,-1.089999914,,,-3.852199793,5.94119978,-6.784599781,,10,-4.736499786,4.373699784,-7.874599695
1.68302E+18,0.240727051,-0.854999959,-1.411299944,-0.62559998,,,-4.038499832,5.647799969,-6.925499916,,11,-4.893499792,4.236500025,-7.551099896
1.68302E+18,0.260727051,-0.576499999,-0.97359997,-0.158699989,,,-4.199199677,5.396399975,-7.029500008,,12,-4.775699675,4.422800004,-7.188199997
1.68302E+18,0.280727051,-0.279199988,-0.793500006,0.422600001,,,-4.123899937,5.412499905,-7.061699867,,13,-4.403099924,4.618999898,-6.639099866
1.68302E+18,0.300727051,0.248399988,-0.742399991,0.862699986,,,-3.994499922,5.547699928,-7.031099796,,14,-3.746099934,4.805299938,-6.168399811
1.68302E+18,0.320727051,0.799299955,-0.666399956,1.06219995,,,-3.82949996,5.706999779,-6.99519968,,15,-3.030200005,5.040599823,-5.93299973
1.68302E+18,0.340727051,1.023599982,-0.730099976,1.184199929,,,-3.622399807,5.858999729,-6.979899883,,16,-2.598799825,5.128899753,-5.795699954
1.68302E+18,0.360727051,0.808099985,-0.844500005,1.266899943,,,-3.387300014,5.993000031,-6.984200001,,17,-2.579200029,5.148500025,-5.717300057
1.68302E+18,0.380727051,0.696500003,-0.971599996,1.352399945,,,-3.157999992,6.120100021,-6.981400013,,18,-2.461499989,5.148500025,-5.629000068
1.68302E+18,0.400730469,1.008299947,-0.839599967,1.428900003,,,-2.940199852,6.262699604,-6.949999809,,19,-1.931899905,5.423099637,-5.521099806
1.68302E+18,0.420729004,1.233799934,-0.767799973,1.824899912,,,-2.734200001,6.436100006,-6.875299931,,20,-1.500400066,5.668300033,-5.050400019
1.68302E+18,0.440729004,1.207299948,-0.519599974,2.348500013,,,-2.550799847,6.629099846,-6.761399746,,21,-1.343499899,6.109499872,-4.412899733
1.68302E+18,0.460729004,1.237399936,-0.027199998,2.757200003,,,-2.375,6.832999706,-6.620999813,,22,-1.137600064,6.805799708,-3.86379981
1.68302E+18,0.480729004,1.696200013,0.354699999,3.090199947,,,-2.19630003,7.049200058,-6.45389986,,23,-0.500100017,7.403900057,-3.363699913
