time,seconds_elapsed,z,y,x,,,z,y,x,,t,z,y,x
1.68301E+18,0.043918457,-0.0233,0.0138,-0.0106,,,9.800499916,0.241099998,0.245999992,,1,9.777199917,0.254899998,0.235399992
1.68301E+18,0.063918457,-0.0233,0.0138,-0.0106,,,9.800499916,0.241099998,0.245999992,,2,9.777199917,0.254899998,0.235399992
1.68301E+18,0.083923096,-0.0233,0.0138,-0.0106,,,9.800499916,0.241099998,0.245999992,,3,9.777199917,0.254899998,0.235399992
1.68301E+18,0.103918457,0.0185,-0.01,0.074599996,,,2.344799995,-1.264799953,9.437799454,,4,2.363299996,-1.274799952,9.51239945
1.68301E+18,0.123918457,0.018999999,0.036899999,0.133000001,,,2.344300032,-1.262699962,9.438199997,,5,2.363300031,-1.225799963,9.571199998
1.68301E+18,0.143918457,-0.0341,0.014599999,0.111699998,,,2.33859992,-1.25999999,9.439899445,,6,2.30449992,-1.245399991,9.551599443
1.68301E+18,0.163918457,-0.0792,0.063299999,0.136299998,,,2.324899912,-1.249899983,9.444699287,,7,2.245699912,-1.186599985,9.580999285
1.68301E+18,0.183918457,0.0517,0.223499998,0.102499999,,,2.331199884,-1.20419991,9.448999405,,8,2.382899884,-0.980699912,9.551499404
1.68301E+18,0.203918457,0.105499998,0.085599996,0.210299999,,,2.336199999,-1.193699956,9.449099541,,9,2.441699997,-1.10809996,9.659399539
1.68301E+18,0.223916748,0.131099999,0.089299999,0.143099993,,,2.349900007,-1.17779994,9.447699547,,10,2.481000006,-1.088499941,9.59079954
1.68301E+18,0.243918457,0.019199999,0.254599988,0.071099997,,,2.353899956,-1.058699965,9.460800171,,11,2.373099955,-0.804099977,9.531900167
1.68301E+18,0.263918457,0.091499999,0.372599989,0.141399994,,,2.39929986,-1.059000015,9.449399948,,12,2.490799859,-0.686400026,9.590799943
1.68301E+18,0.283918457,-0.039000001,0.289199978,0.180799991,,,2.353399992,-0.985499978,9.468899727,,13,2.314399991,-0.6963,9.649699718
1.68301E+18,0.303918457,0.130099997,0.121299997,0.391000003,,,2.311699867,-0.935299993,9.484199524,,14,2.441799864,-0.813999996,9.875199527
1.68301E+18,0.323918457,0.262499988,0.0068,0.153300002,,,2.287199974,-0.869799972,9.496399879,,15,2.549699962,-0.862999972,9.649699882
1.68301E+18,0.343918457,0.045699999,0.061699998,-0.135999992,,,2.25880003,-0.77759999,9.511199951,,16,2.304500028,-0.715899993,9.375199959
1.68301E+18,0.363918457,0.225299999,-0.0581,-0.0042,,,2.226300001,-0.677299976,9.526499748,,17,2.4516,-0.735399976,9.522299748
1.68301E+18,0.383918457,0.242299989,0.061699998,0.1061,,,2.179800034,-0.581499994,9.543600082,,18,2.422100022,-0.519799996,9.649700083
1.68301E+18,0.403918457,0.422099978,-0.24059999,0.012,,,2.127599955,-0.514400005,9.559199333,,19,2.549699932,-0.754999995,9.571199333
1.68301E+18,0.423918457,0.2764,-0.190899998,-0.083799995,,,2.10649991,-0.456199974,9.566800117,,20,2.38289991,-0.647099972,9.483000122
1.68301E+18,0.443918457,0.064499997,-0.089299999,-0.069600001,,,2.092900038,-0.400899976,9.572299957,,21,2.157400034,-0.490199976,9.502699956
1.68301E+18,0.463918457,0.131899998,-0.033,-0.1131,,,2.084300041,-0.339599997,9.576499939,,22,2.216200039,-0.372599997,9.463399939
1.68301E+18,0.483918457,0.22209999,-0.065499999,0.387999982,,,2.052899837,-0.27759999,9.585299492,,23,2.274999827,-0.343099989,9.973299474
