time,seconds_elapsed,z,y,x,,,z,y,x,,,t,z,y,x
1.683E+18,0.039056396,-0.193999991,0.289399981,0.560099959,,,-0.855199993,-0.907299995,9.726999283,,,1,-1.049199983,-0.617900014,10.28709924
1.683E+18,0.059056396,-0.193999991,0.289399981,0.560099959,,,-0.855199993,-0.907299995,9.726999283,,,2,-1.049199983,-0.617900014,10.28709924
1.683E+18,0.079058105,-0.193999991,0.289399981,0.560099959,,,-0.855199993,-0.907299995,9.726999283,,,3,-1.049199983,-0.617900014,10.28709924
1.683E+18,0.099058105,0.039999999,-0.0126,0.142800003,,,2.637099981,-0.83069998,9.408800125,,,4,2.67709998,-0.84329998,9.551600128
1.683E+18,0.119058105,0.0117,-0.0222,0.201399997,,,2.635999918,-0.830899954,9.408999443,,,5,2.647699918,-0.853099953,9.61039944
1.683E+18,0.139056396,-0.099299997,-0.0034,0.307300001,,,2.629400015,-0.8301,9.410999298,,,6,2.530100018,-0.8335,9.718299299
1.683E+18,0.159058105,-0.077799998,0.013599999,0.176399991,,,2.617699862,-0.827499986,9.414500237,,,7,2.539899863,-0.813899986,9.590900227
1.683E+18,0.17905957,-0.043299999,0.049399998,0.092599995,,,2.602799892,-0.814300001,9.419699669,,,8,2.559499893,-0.764900003,9.512299664
1.683E+18,0.199058105,0.0004,0.092999995,0.059,,,2.59829998,-0.779500008,9.423899651,,,9,2.59869998,-0.686500013,9.482899651
1.683E+18,0.219058105,-0.020099999,0.175599992,0.122399993,,,2.589400053,-0.744399965,9.429200172,,,10,2.569300054,-0.568799973,9.551600166
1.683E+18,0.239058105,-0.030499998,0.182899997,0.225999996,,,2.580299854,-0.722299993,9.433400154,,,11,2.549799856,-0.539399996,9.65940015
1.683E+18,0.259058105,-0.167099997,0.315200001,0.32979998,,,2.628599882,-0.86439997,9.408100128,,,12,2.461499885,-0.549199969,9.737900108
1.683E+18,0.279056396,-0.107899994,0.391599983,0.238699988,,,2.608599901,-0.783800006,9.420700073,,,13,2.500699908,-0.392200023,9.659400061
1.683E+18,0.299058105,0.0537,0.671700001,0.060699999,,,2.60379982,-0.652099967,9.432099342,,,14,2.65749982,0.019600034,9.492799342
1.683E+18,0.319058105,0.1338,-0.142999992,0.126199991,,,2.602200031,-0.612100005,9.435199738,,,15,2.736000031,-0.755099997,9.561399728
