time,seconds_elapsed,z,y,x,,,z,y,x,,,t,z,y,x
1.683E+18,0.037056396,0.37349999,-0.333199978,1.492499948,,,2.519399881,-0.343299985,9.471199989,,,1,2.892899871,-0.676499963,10.96369994
1.683E+18,0.05705957,0.37349999,-0.333199978,1.492499948,,,2.519399881,-0.343299985,9.471199989,,,2,2.892899871,-0.676499963,10.96369994
1.683E+18,0.077062744,0.37349999,-0.333199978,1.492499948,,,2.519399881,-0.343299985,9.471199989,,,3,2.892899871,-0.676499963,10.96369994
1.683E+18,0.097056396,0.067400001,-0.0195,0.265799999,,,2.403800011,-0.69629997,9.481900215,,,4,2.471200012,-0.715799971,9.747700214
1.683E+18,0.117058105,0.173500001,-0.038799997,0.266299993,,,2.405499935,-0.69659996,9.481399536,,,5,2.578999937,-0.735399958,9.747699529
1.683E+18,0.137058105,0.225400001,0.035799999,0.064300001,,,2.422299862,-0.692900002,9.477399826,,,6,2.647699863,-0.657100003,9.541699827
1.683E+18,0.157058105,0.186700001,0.213799998,-0.145899996,,,2.451200008,-0.664999962,9.472000122,,,7,2.63790001,-0.451199964,9.326100126
1.683E+18,0.177058105,0.305099994,-0.134299994,0.337199986,,,2.460299969,-0.669699967,9.469299316,,,8,2.765399963,-0.80399996,9.806499302
1.683E+18,0.197056396,0.060399998,-0.0528,0.2491,,,2.459899902,-0.672800004,9.469200134,,,9,2.5202999,-0.725600004,9.718300134
1.683E+18,0.217058105,-0.0054,0.107299998,-0.0053,,,2.457099915,-0.538800001,9.478499413,,,10,2.451699915,-0.431500003,9.473199413
1.683E+18,0.237056396,-0.090700001,0.115999997,-0.058799997,,,2.444299936,-0.518099964,9.482899666,,,11,2.353599936,-0.402099967,9.424099669
1.683E+18,0.257058105,-0.103399999,0.0506,0.081599995,,,2.427599907,-0.472299993,9.489600182,,,12,2.324199907,-0.421699993,9.571200177
1.683E+18,0.277058105,-0.115999997,0.067499995,0.25999999,,,2.400899887,-0.449999988,9.497499466,,,13,2.28489989,-0.382499993,9.757499456
1.683E+18,0.297056396,-0.123399995,0.159899995,0.152799994,,,2.369099855,-0.424599975,9.506599426,,,14,2.24569986,-0.264699981,9.65939942
1.683E+18,0.317058105,-0.240099996,0.1875,-0.109499998,,,2.309299946,-0.363999993,9.523799896,,,15,2.06919995,-0.176499993,9.414299898
1.683E+18,0.337058105,-0.320299983,0.145999998,-0.301799983,,,2.252300024,-0.302899987,9.539599419,,,16,1.932000041,-0.156899989,9.237799436
1.683E+18,0.357058105,-0.281800002,0.21069999,-0.447099984,,,2.223500013,-0.259799987,9.547699928,,,17,1.941700011,-0.049099997,9.100599945
1.683E+18,0.377056396,-0.298399985,0.23709999,-0.085199997,,,2.181299925,-0.217500001,9.558499336,,,18,1.88289994,0.019599989,9.473299339
