time,seconds_elapsed,z,y,x,,,z,y,x,,t,z,y,x
1.68301E+18,0.041399658,-0.203899994,-0.079899997,-0.965900004,,,2.106400013,-0.174999997,9.576099396,,1,1.902500018,-0.254899994,8.610199392
1.68301E+18,0.061406006,-0.203899994,-0.079899997,-0.965900004,,,2.106400013,-0.174999997,9.576099396,,2,1.902500018,-0.254899994,8.610199392
1.68301E+18,0.081399658,0.019299999,-0.011899999,0.146200001,,,1.284799933,-0.792099953,9.689700127,,3,1.304099932,-0.803999952,9.835900128
1.68301E+18,0.101399658,0.0004,0.0069,0.1461,,,1.284199953,-0.791499972,9.689899445,,4,1.284599953,-0.784599972,9.835999444
1.68301E+18,0.121399658,-0.045599997,-0.145400003,0.283399999,,,1.281199932,-0.795899987,9.689899445,,5,1.235599935,-0.94129999,9.973299444
1.68301E+18,0.141399658,0.075300001,-0.052499998,0.117899999,,,1.287699938,-0.800599992,9.688699722,,6,1.362999938,-0.853099991,9.806599721
1.68301E+18,0.161399658,-0.0083,0.0242,0.0048,,,1.273299932,-0.7597,9.693799973,,7,1.264999933,-0.7355,9.698599972
1.68301E+18,0.181399658,-0.236999989,0.051799998,-0.0129,,,1.217700005,-0.748099983,9.701899529,,8,0.980700016,-0.696299985,9.688999529
1.68301E+18,0.201399658,-0.164499998,0.0107,0.230299994,,,1.203999996,-0.746199965,9.703800201,,9,1.039499998,-0.735499966,9.934100196
1.68301E+18,0.221399658,0.0132,-0.0276,0.230199993,,,1.202700019,-0.746999979,9.703800201,,10,1.215900019,-0.774599979,9.934000194
1.68301E+18,0.241399658,-0.0006,-0.059599999,0.291799992,,,1.226400018,-0.744399965,9.701099396,,11,1.225800018,-0.803999964,9.992899388
1.68301E+18,0.261399658,0.1558,-0.024899999,0.005,,,1.373899937,-0.710500002,9.683799744,,12,1.529699937,-0.735400001,9.688799744
1.68301E+18,0.281399658,-0.044099998,0.0471,-0.315400004,,,1.42689991,-0.645399988,9.680699348,,13,1.382799912,-0.598299988,9.365299344
1.68301E+18,0.301399658,-0.169200003,0.206999987,-0.463200003,,,1.45389998,-0.56979996,9.681499481,,14,1.284699976,-0.362799972,9.218299478
1.68301E+18,0.321399658,-0.169799998,0.124399997,-0.270500004,,,1.45449996,-0.506799996,9.68489933,,15,1.284699962,-0.382399999,9.414399326
1.68301E+18,0.341399658,-0.207399994,0.125200003,0.0788,,,1.443099976,-0.468499988,9.688499451,,16,1.235699981,-0.343299985,9.767299451
1.68301E+18,0.361399658,-0.253299981,0.094700001,0.561500013,,,1.400699973,-0.437899977,9.696199417,,17,1.147399992,-0.343199976,10.25769943
1.68301E+18,0.381399658,-0.170900002,0.363999993,0.675700009,,,1.328099966,-0.363999993,9.709400177,,18,1.157199964,0,10.38510019
1.68301E+18,0.401399658,0.182099998,0.27609998,0.332800001,,,1.337799907,-0.334899992,9.70909977,,19,1.519899905,-0.058800012,10.04189977
1.68301E+18,0.421399658,-0.1074,0.221199989,-0.088199995,,,1.352899909,-0.289799988,9.708499908,,20,1.245499909,-0.068599999,9.620299913
1.68301E+18,0.441399658,-0.37439999,0.202600002,-0.210299999,,,1.335500002,-0.212499991,9.712900162,,21,0.961100012,-0.009899989,9.502600163
1.68301E+18,0.461399658,-0.148399994,0.015299999,0.229899988,,,1.334999919,-0.162399992,9.713899612,,22,1.186599925,-0.147099993,9.9437996
1.68301E+18,0.481399658,0.1998,-0.156899989,0.924999952,,,1.329899907,-0.127399996,9.715199471,,23,1.529699907,-0.284299985,10.64019942
1.68301E+18,0.501399658,0.454400003,-0.097599998,1.186800003,,,1.31069994,-0.098399997,9.718099594,,24,1.765099943,-0.195999995,10.9048996
1.68301E+18,0.521399658,0.572600007,0.108999997,1.077299953,,,1.300400019,-0.069799997,9.71969986,,25,1.873000026,0.0392,10.79699981
1.68301E+18,0.541399658,0.374899983,0.317599982,0.616400003,,,1.30189991,-0.033199999,9.71969986,,26,1.676799893,0.284399983,10.33609986
1.68301E+18,0.561399658,-0.046499997,0.368099988,0.232499987,,,1.29189992,0.0143,9.721099854,,27,1.245399922,0.382399987,9.95359984
1.68301E+18,0.581399658,-0.082899995,0.122999996,-0.181999996,,,1.269500017,0.063299999,9.723899841,,28,1.186600022,0.186299995,9.541899845
1.68301E+18,0.601399658,0.142299995,-0.089999996,-0.552899957,,,1.279500008,0.1096,9.722099304,,29,1.421800002,0.019600004,9.169199347
1.68301E+18,0.621399658,0.033299997,-0.0222,-0.796099961,,,1.290499926,0.149700001,9.720199585,,30,1.323799923,0.127500001,8.924099624
1.68301E+18,0.641399658,0.029399998,0.237799987,-0.932500005,,,1.294399977,0.173999995,9.719200134,,31,1.323799975,0.411799982,8.78670013
1.68301E+18,0.661399658,0.164399996,0.408199996,-0.608399987,,,1.296700001,0.180099994,9.718799591,,32,1.461099997,0.58829999,9.110399604
1.68301E+18,0.681399658,0.130999997,0.239799991,-0.226899996,,,1.290799975,0.171999991,9.71969986,,33,1.421799973,0.411799982,9.492799863
1.68301E+18,0.701399658,0.12529999,0.338499993,0.0273,,,1.286800027,0.161499992,9.720499992,,34,1.412100017,0.499999985,9.747799993
1.68301E+18,0.721399658,0.041499998,0.587599993,0.007,,,1.282299995,0.157600001,9.721099854,,35,1.323799994,0.745199993,9.728099853
1.68301E+18,0.741399658,-0.040399998,0.620199978,0.064899996,,,1.276000023,0.154399991,9.722000122,,36,1.235600024,0.774599969,9.786900118
1.68301E+18,0.761399658,-0.114099994,0.659500003,-0.0044,,,1.271199942,0.144599989,9.722799301,,37,1.157099947,0.804099992,9.718399301
1.68301E+18,0.781399658,-0.045299999,0.665799975,-0.130799994,,,1.280900002,0.128399998,9.721699715,,38,1.235600002,0.794199973,9.590899721
1.68301E+18,0.801399658,-0.228699997,0.697399974,-0.364099979,,,1.297599912,0.116499998,9.71969986,,39,1.068899915,0.813899972,9.35559988
1.68301E+18,0.821399658,-0.509899974,0.792999983,-0.658699989,,,1.294399977,0.118899994,9.720099449,,40,0.784500003,0.911899976,9.06139946
1.68301E+18,0.841399658,-0.532400012,1.180499911,-0.612199962,,,1.277699947,0.094299994,9.722499847,,41,0.745299935,1.274799906,9.110299885
1.68301E+18,0.861399658,-0.523299992,1.18719995,-0.850399971,,,1.258799911,0.038599998,9.725399971,,42,0.735499918,1.225799948,8.875
1.68301E+18,0.881399658,-0.540099978,0.707199991,0.067199998,,,1.226599932,-0.030599998,9.729499817,,43,0.686499953,0.676599992,9.796699814
1.68301E+18,0.901399658,-0.425399989,0.352599978,1.034099936,,,1.190400004,-0.107499994,9.733499527,,44,0.765000015,0.245099984,10.76759946
1.68301E+18,0.921399658,-0.090499997,0.413299978,1.456799984,,,1.188799977,-0.18779999,9.732500076,,45,1.09829998,0.225499988,11.18930006
1.68301E+18,0.941399658,0.165699989,0.557799995,1.694999933,,,1.207099915,-0.214599997,9.729700089,,46,1.372799903,0.343199998,11.42470002
1.68301E+18,0.961399658,-0.01,0.823300004,1.6171,,,1.216199994,-0.185900003,9.729100227,,47,1.206199994,0.637400001,11.34620023
1.68301E+18,0.981399658,-0.131599993,0.800399959,1.213400006,,,1.210399985,-0.133599997,9.730699539,,48,1.078799993,0.666799963,10.94409955
1.68301E+18,1.001399658,-0.063000001,0.464999974,1.065799952,,,1.210399985,-0.082499996,9.7312994,,49,1.147399984,0.382499978,10.79709935
1.68301E+18,1.021399658,0.077599995,-0.022299999,1.126299977,,,1.226599932,-0.026699999,9.729499817,,50,1.304199927,-0.048999999,10.85579979
1.68301E+18,1.041399658,0.345599979,-0.472000003,1.412799954,,,1.242999911,0.0307,9.727499962,,51,1.58859989,-0.441300003,11.14029992
1.68301E+18,1.061399658,0.593400002,-0.815099955,2.149399996,,,1.250199914,0.069799997,9.726299286,,52,1.843599916,-0.745299958,11.87569928
1.68301E+18,1.081399658,0.691699982,-1.224499941,3.07130003,,,1.249899983,0.077100001,9.726299286,,53,1.941599965,-1.14739994,12.79759932
1.68301E+18,1.101399658,0.939399958,-1.438699961,3.873799801,,,1.237599969,0.065799996,9.727999687,,54,2.176999927,-1.372899964,13.60179949
1.68301E+18,1.121399658,1.383099914,-1.425599933,4.508299828,,,1.215600014,0.0429,9.730899811,,55,2.598699927,-1.382699933,14.23919964
